JA,JB,length,DGC_AB,DGC_BA,EGC_AB,EGC_BA,AB capacity,BA capacity,DFFTT_AB,DFFTT_BA,EFFTT_AB,EFFTT_BA
22,4201045,6.115507123,3.141912082,0.025093269,2.589318058,0.022773042,537600.0213,537600.0213,13006.42836,149.6508423,12734.47542,136.5195615
23,24,0.498896644,0.002047082,1.421948651,0.001849947,1.174905296,537600.0213,537600.0213,12.20835844,5886.375167,11.13712235,5778.279163
24,5400215,2.253081562,0.221953545,0.009244888,0.179185946,0.008384667,537600.0213,537600.0213,918.8108426,55.13452061,881.2512352,50.29668033
25,2100156,10.5251097,0.154875237,37.06733503,0.152264389,30.81926221,112000,89600,923.6425086,153445.9351,912.4633094,151571.6211
25,5100179,1.496689932,0.022023543,6.810170379,0.021650387,5.717086334,112000,89600,131.3436613,28191.74783,129.7539586,28117.09241
26,1800311,2.735884877,0.040258091,0.993706382,0.0395778,0.818739595,492800.0108,492800.0108,240.0905685,4113.60042,237.1846603,4026.627538
27,1300400,22.14457381,0.135008117,20.1353334,0.132525984,16.61830972,134400.0054,107520.0043,805.1592923,83353.30986,794.198876,81730.18963
33,1300012,14.85424438,7.309311357,0.274865643,5.472617891,0.553630856,112000,89600,30258.01869,1605.549771,26914.77691,3317.65899
34,1300138,5.487863178,3.535048324,0.022517908,2.913514689,0.020434932,537600.0213,537600.0213,14633.8763,134.2919451,14328.90063,122.508348
35,1300135,6.212067671,1.180908769,0.114949232,0.972356446,0.231528772,112000,89600,4888.553498,671.4433648,4782.127691,1387.450053
37,593,1.142634205,0.004688479,3.999980376,0.004248009,3.325087914,537600.0213,537600.0213,27.96107792,16558.53405,25.50760182,16353.05096
39,1300242,25.37935562,0.10413707,10.83254994,0.094535065,8.926711271,156799.9973,125439.9978,621.0510214,44843.00676,566.5562038,43902.28717
41,2200257,7.370795397,1.066640201,0.108460027,0.85322689,0.106630975,112000,89600,4415.521183,646.8322084,4196.238961,639.0033503
41,4800159,27.19791299,2.677391994,0.400212762,2.161489942,0.393469562,112000,89600,11083.476,2386.782589,10630.38242,2357.894445
43,500255,12.07008,3.839994597,0.049526189,3.163952147,0.04495512,156799.9973,125439.9978,15896.24831,295.3635082,15560.57232,269.4465063
44,4000247,35.21244537,4.306810446,0.651577502,3.459983177,1.312400226,112000,89600,17828.70432,3806.005352,17016.47698,7864.613168
45,4700064,18.49136219,1.820309709,0.16518058,1.469557348,0.159704191,134400.0054,107520.0043,7535.452043,985.1013485,7227.402027,957.0555172
